VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2023-01-06 04:45:00,2023-01-06 05:34:00,2,2.21,1,N,123,126,1,14.04,1.0,0.5,2.51,0.0,1.0,21.55,2.5,0.0
1,2023-01-06 05:31:00,2023-01-06 06:01:00,2,0.44,1,N,75,37,1,27.21,3.5,0.5,1.23,0.0,1.0,35.94,2.5,0.0
1,2023-01-06 07:37:00,2023-01-06 08:10:00,3,1.54,1,N,86,84,1,10.92,0.0,0.5,0.38,6.55,1.0,21.85,2.5,0.0
1,2023-01-06 11:46:00,2023-01-06 12:06:00,1,0.52,4,N,141,97,1,29.48,3.5,0.5,2.06,0.0,1.0,39.04,2.5,0.0
2,2023-01-06 12:47:00,2023-01-06 13:46:00,1,9.05,1,N,131,161,1,26.03,3.5,0.5,0.41,6.55,1.0,40.49,2.5,0.0
2,2023-01-06 13:44:00,2023-01-06 14:34:00,1,0.43,1,Y,9,31,1,12.02,2.5,0.5,1.47,0.0,1.0,17.49,0.0,0.0
2,2023-01-06 13:56:00,2023-01-06 14:02:00,1,3.05,2,N,262,226,1,6.38,1.0,0.5,0.29,6.55,1.0,18.22,2.5,0.0
1,2023-01-06 15:55:00,2023-01-06 16:48:00,1,1.53,1,N,174,219,2,5.13,0.5,0.5,3.59,0.0,1.0,13.22,2.5,0.0
1,2023-01-06 18:28:00,2023-01-06 18:40:00,1,2.47,1,N,115,29,1,10.45,0.0,0.5,0.18,0.0,1.0,12.13,0.0,0.0
2,2023-01-06 21:52:00,2023-01-06 22:22:00,1,7.71,1,N,255,217,1,7.57,2.5,0.5,1.36,6.55,1.0,19.48,0.0,0.0
2,2023-01-07 07:18:00,2023-01-07 08:06:00,1,1.32,1,N,257,39,1,11.84,0.5,0.5,0.69,6.55,1.0,21.08,0.0,0.0
2,2023-01-07 11:37:00,2023-01-07 11:58:00,1,0.51,1,N,104,168,1,4.56,0.5,0.5,1.75,6.55,1.0,14.86,0.0,0.0
2,2023-01-07 13:15:00,2023-01-07 14:11:00,1,6.83,1,N,42,6,3,5.06,0.5,0.5,0.98,0.0,1.0,10.54,2.5,0.0
2,2023-01-07 14:23:00,2023-01-07 15:12:00,1,3.0,1,N,255,218,3,4.11,3.5,0.5,2.27,6.55,1.0,20.43,2.5,0.0
1,2023-01-07 15:00:00,2023-01-07 15:42:00,1,0.97,1,N,225,95,1,10.36,3.5,0.5,0.38,6.55,1.0,22.29,0.0,0.0
1,2023-01-07 16:37:00,2023-01-07 16:48:00,2,3.25,1,N,52,54,1,12.74,0.0,0.5,0.49,0.0,1.0,17.23,2.5,0.0
1,2023-01-07 18:06:00,2023-01-07 18:57:00,1,13.69,2,N,252,116,2,11.5,0.0,0.5,9.61,0.0,1.0,22.61,0.0,0.0
1,2023-01-07 20:45:00,2023-01-07 21:42:00,1,2.03,1,N,82,20,1,7.95,2.5,0.5,8.41,0.0,1.0,22.86,2.5,0.0
1,2023-01-07 21:27:00,2023-01-07 22:22:00,1,1.53,1,N,29,250,1,18.6,1.0,0.5,4.72,6.55,1.0,34.87,2.5,0.0
1,2023-01-07 23:48:00,2023-01-08 00:24:00,1,0.42,1,N,112,16,1,6.75,0.0,0.5,5.45,6.55,1.0,20.25,0.0,0.0
2,2023-01-08 02:07:00,2023-01-08 02:42:00,1,3.49,1,N,214,51,1,30.94,2.5,0.5,3.39,0.0,1.0,40.83,2.5,0.0
1,2023-01-08 08:29:00,2023-01-08 08:39:00,1,1.34,1,N,24,16,1,13.33,0.0,0.5,1.4,0.0,1.0,18.73,2.5,0.0
2,2023-01-08 09:31:00,2023-01-08 09:51:00,4,0.54,1,N,132,138,1,17.77,3.5,0.5,3.28,0.0,1.0,26.05,0.0,0.0
2,2023-01-08 10:19:00,2023-01-08 10:46:00,1,0.92,1,N,7,157,1,6.28,1.0,0.5,5.61,6.55,1.0,25.19,2.5,1.75
2,2023-01-08 11:09:00,2023-01-08 11:28:00,1,1.42,1,N,191,138,1,6.14,0.5,0.5,7.24,0.0,1.0,17.88,2.5,0.0
2,2023-01-08 11:45:00,2023-01-08 12:42:00,1,1.17,1,N,264,136,2,8.83,1.0,0.5,0.75,0.0,1.0,12.08,0.0,0.0
1,2023-01-08 15:43:00,2023-01-08 15:49:00,1,5.12,1,N,225,5,1,40.69,1.0,0.5,0.14,6.55,1.0,52.38,2.5,0.0
1,2023-01-08 16:06:00,2023-01-08 16:12:00,1,3.04,1,N,119,60,1,3.77,0.5,0.5,0.39,6.55,1.0,15.21,2.5,0.0
2,2023-01-08 16:54:00,2023-01-08 17:19:00,1,1.97,2,N,166,210,1,17.36,3.5,0.5,1.77,6.55,1.0,34.93,2.5,1.75
2,2023-01-08 20:23:00,2023-01-08 20:44:00,1,7.55,1,N,151,113,1,4.82,2.5,0.5,0.97,0.0,1.0,12.29,2.5,0.0
1,2023-01-08 21:04:00,2023-01-08 21:55:00,1,2.96,1,N,222,217,1,32.14,0.0,0.5,3.17,6.55,1.0,45.86,2.5,0.0
2,2023-01-08 21:10:00,2023-01-08 21:29:00,1,1.62,1,N,177,230,2,16.48,0.0,0.5,2.41,6.55,1.0,29.44,2.5,0.0
1,2023-01-08 21:50:00,2023-01-08 22:03:00,1,3.87,1,N,185,169,2,6.13,0.5,0.5,1.08,0.0,1.0,11.71,2.5,0.0
2,2023-01-08 23:56:00,2023-01-09 00:03:00,2,7.64,1,N,165,79,1,5.92,0.5,0.5,2.4,6.55,1.0,19.37,2.5,0.0
2,2023-01-09 00:29:00,2023-01-09 00:50:00,1,0.39,5,N,44,174,2,15.02,1.0,0.5,2.26,0.0,1.0,19.78,0.0,0.0
2,2023-01-09 01:38:00,2023-01-09 02:23:00,1,2.14,3,N,19,133,1,7.04,0.5,0.5,3.68,0.0,1.0,12.72,0.0,0.0
2,2023-01-09 03:45:00,2023-01-09 04:15:00,1,1.61,1,N,161,242,2,6.75,0.5,0.5,5.21,0.0,1.0,16.46,2.5,0.0
1,2023-01-09 07:22:00,2023-01-09 07:30:00,1,1.62,1,N,165,158,2,6.52,3.5,0.5,0.96,0.0,1.0,12.48,0.0,0.0
2,2023-01-09 07:44:00,2023-01-09 08:39:00,2,6.41,1,N,30,118,1,16.9,3.5,0.5,0.97,0.0,1.0,25.37,2.5,0.0
2,2023-01-09 09:40:00,2023-01-09 09:51:00,1,1.7,1,N,172,223,1,13.7,0.5,0.5,0.16,0.0,1.0,15.86,0.0,0.0
2,2023-01-09 09:55:00,2023-01-09 10:15:00,1,3.56,1,N,71,214,1,5.7,2.5,0.5,8.44,6.55,1.0,27.19,2.5,0.0
2,2023-01-09 10:55:00,2023-01-09 11:17:00,3,2.89,1,N,64,105,1,4.44,0.0,0.5,0.06,6.55,1.0,15.05,2.5,0.0
1,2023-01-09 12:49:00,2023-01-09 13:03:00,1,1.58,2,N,259,3,1,13.01,1.0,0.5,1.24,0.0,1.0,18.5,0.0,1.75
2,2023-01-09 13:06:00,2023-01-09 13:13:00,2,3.24,1,Y,61,179,1,13.28,2.5,0.5,1.61,0.0,1.0,21.39,2.5,0.0
2,2023-01-09 13:23:00,2023-01-09 13:40:00,2,5.09,1,N,207,89,1,3.09,0.0,0.5,2.6,0.0,1.0,9.69,2.5,0.0
1,2023-01-09 14:00:00,2023-01-09 14:21:00,4,13.01,1,N,18,70,1,22.24,0.0,0.5,3.51,0.0,1.0,27.25,0.0,0.0
2,2023-01-09 19:06:00,2023-01-09 19:55:00,1,2.98,1,N,158,13,1,3.6,0.5,0.5,0.54,6.55,1.0,12.69,0.0,0.0
1,2023-01-09 20:43:00,2023-01-09 21:36:00,1,0.83,1,N,221,179,2,44.78,3.5,0.5,4.5,6.55,1.0,63.33,2.5,0.0
2,2023-01-09 21:48:00,2023-01-09 22:44:00,1,3.44,1,N,107,1,1,11.05,3.5,0.5,5.45,0.0,1.0,21.5,0.0,0.0
1,2023-01-09 23:40:00,2023-01-09 23:52:00,1,0.54,1,N,200,114,1,12.37,0.0,0.5,3.18,0.0,1.0,19.55,2.5,0.0
2,2023-01-10 03:00:00,2023-01-10 03:59:00,2,1.1,1,N,16,76,1,9.49,3.5,0.5,1.01,6.55,1.0,24.55,2.5,0.0
1,2023-01-10 04:24:00,2023-01-10 04:46:00,1,3.71,1,N,137,9,1,14.74,3.5,0.5,5.71,6.55,1.0,34.5,2.5,0.0
2,2023-01-10 04:33:00,2023-01-10 05:14:00,1,4.07,1,N,150,251,1,8.71,2.5,0.5,1.78,6.55,1.0,25.29,2.5,1.75
2,2023-01-10 05:01:00,2023-01-10 05:12:00,5,0.44,2,N,19,152,1,26.65,3.5,0.5,3.06,0.0,1.0,37.21,2.5,0.0
1,2023-01-10 13:40:00,2023-01-10 14:22:00,1,2.74,1,N,15,206,1,4.53,0.0,0.5,0.49,6.55,1.0,15.57,2.5,0.0
1,2023-01-10 14:07:00,2023-01-10 14:48:00,1,3.2,1,N,108,225,4,26.53,3.5,0.5,1.37,0.0,1.0,32.9,0.0,0.0
2,2023-01-10 17:06:00,2023-01-10 17:46:00,3,0.42,1,N,187,239,2,5.26,0.0,0.5,1.6,0.0,1.0,12.61,2.5,1.75
1,2023-01-10 18:20:00,2023-01-10 18:40:00,1,3.76,1,N,70,81,2,45.96,3.5,0.5,7.68,0.0,1.0,61.14,2.5,0.0
2,2023-01-10 19:53:00,2023-01-10 20:00:00,3,3.14,1,N,157,54,1,9.03,0.5,0.5,0.54,6.55,1.0,20.62,2.5,0.0
2,2023-01-10 23:42:00,2023-01-11 00:31:00,1,0.37,1,N,124,163,2,3.42,0.5,0.5,1.3,0.0,1.0,9.22,2.5,0.0
1,2023-01-10 23:49:00,2023-01-11 00:29:00,1,2.99,1,N,92,192,2,25.03,3.5,0.5,0.7,6.55,1.0,39.78,2.5,0.0
1,2023-01-11 01:46:00,2023-01-11 02:03:00,1,1.04,1,N,247,87,2,3.97,1.0,0.5,2.08,6.55,1.0,15.1,0.0,0.0
2,2023-01-11 05:43:00,2023-01-11 06:40:00,1,1.03,1,N,26,69,2,12.68,1.0,0.5,2.7,6.55,1.0,26.93,2.5,0.0
1,2023-01-11 07:39:00,2023-01-11 08:24:00,1,3.75,1,N,236,164,1,13.88,3.5,0.5,2.37,0.0,1.0,23.75,2.5,0.0
1,2023-01-11 09:55:00,2023-01-11 10:04:00,2,1.28,1,N,197,52,1,7.94,1.0,0.5,5.01,6.55,1.0,26.25,2.5,1.75
2,2023-01-11 11:56:00,2023-01-11 12:50:00,1,2.81,1,N,28,254,1,27.01,0.0,0.5,0.88,6.55,1.0,37.69,0.0,1.75
1,2023-01-11 13:36:00,2023-01-11 13:41:00,1,0.51,1,N,213,249,1,7.44,0.0,0.5,0.93,6.55,1.0,18.92,2.5,0.0
1,2023-01-11 17:14:00,2023-01-11 17:32:00,1,5.1,1,N,243,247,1,28.69,3.5,0.5,0.53,6.55,1.0,40.77,0.0,0.0
2,2023-01-11 18:54:00,2023-01-11 19:27:00,1,2.7,1,N,205,192,1,16.61,1.0,0.5,0.38,0.0,1.0,21.99,2.5,0.0
2,2023-01-11 21:48:00,2023-01-11 21:55:00,4,1.07,1,N,223,93,2,7.15,1.0,0.5,1.75,6.55,1.0,17.95,0.0,0.0
2,2023-01-12 00:56:00,2023-01-12 01:21:00,1,0.98,1,N,183,189,1,6.17,2.5,0.5,0.52,0.0,1.0,10.69,0.0,0.0
2,2023-01-12 03:09:00,2023-01-12 03:19:00,2,0.72,1,N,217,92,1,6.5,0.5,0.5,0.7,0.0,1.0,11.7,2.5,0.0
1,2023-01-12 03:41:00,2023-01-12 04:37:00,1,0.79,1,N,57,136,1,42.56,0.0,0.5,0.89,6.55,1.0,53.25,0.0,1.75
2,2023-01-12 07:19:00,2023-01-12 08:01:00,1,0.55,1,N,258,129,1,9.67,1.0,0.5,0.68,0.0,1.0,17.1,2.5,1.75
2,2023-01-12 11:55:00,2023-01-12 12:47:00,1,4.08,1,N,183,264,2,14.71,0.5,0.5,5.63,0.0,1.0,24.84,2.5,0.0
2,2023-01-12 20:33:00,2023-01-12 21:18:00,1,2.73,1,N,51,138,1,3.11,1.0,0.5,0.64,0.0,1.0,8.75,2.5,0.0
2,2023-01-12 20:47:00,2023-01-12 21:41:00,1,2.49,1,N,30,84,1,23.08,3.5,0.5,0.14,0.0,1.0,30.72,2.5,0.0
2,2023-01-12 21:18:00,2023-01-12 22:17:00,1,0.93,1,N,189,12,1,4.54,1.0,0.5,3.86,6.55,1.0,21.7,2.5,1.75
1,2023-01-13 00:17:00,2023-01-13 00:49:00,2,2.2,1,N,50,119,1,5.04,3.5,0.5,0.26,6.55,1.0,21.1,2.5,1.75
2,2023-01-13 01:07:00,2023-01-13 01:21:00,1,1.97,1,N,233,207,1,19.27,2.5,0.5,3.88,6.55,1.0,36.2,2.5,0.0
1,2023-01-13 02:13:00,2023-01-13 02:27:00,1,4.04,2,N,208,51,1,32.89,0.0,0.5,4.4,0.0,1.0,41.29,2.5,0.0
2,2023-01-13 05:53:00,2023-01-13 06:15:00,3,6.84,1,N,87,228,1,21.74,1.0,0.5,0.12,0.0,1.0,24.36,0.0,0.0
2,2023-01-13 06:00:00,2023-01-13 06:27:00,1,1.05,1,N,110,178,1,7.88,0.0,0.5,1.09,0.0,1.0,14.72,2.5,1.75
2,2023-01-13 08:12:00,2023-01-13 08:23:00,1,0.8,1,N,170,23,2,5.85,3.5,0.5,2.24,0.0,1.0,17.34,2.5,1.75
1,2023-01-13 11:15:00,2023-01-13 11:37:00,1,4.48,1,N,10,183,1,10.92,2.5,0.5,0.01,0.0,1.0,14.93,0.0,0.0
1,2023-01-13 13:10:00,2023-01-13 13:26:00,1,8.6,1,N,38,134,1,4.43,0.5,0.5,2.04,0.0,1.0,10.97,2.5,0.0
2,2023-01-13 13:13:00,2023-01-13 13:45:00,1,0.55,2,N,98,39,1,6.32,0.5,0.5,1.98,0.0,1.0,12.8,2.5,0.0
1,2023-01-13 13:14:00,2023-01-13 13:28:00,1,7.61,1,N,28,213,1,25.45,0.5,0.5,0.76,0.0,1.0,30.71,2.5,0.0
1,2023-01-13 21:17:00,2023-01-13 21:38:00,1,3.64,1,N,238,150,1,31.4,0.5,0.5,7.43,6.55,1.0,51.63,2.5,1.75
2,2023-01-13 22:58:00,2023-01-13 23:10:00,1,1.75,2,N,102,82,1,10.99,2.5,0.5,7.07,0.0,1.0,26.31,2.5,1.75
2,2023-01-14 00:32:00,2023-01-14 01:21:00,1,2.79,1,N,122,6,1,6.98,2.5,0.5,2.07,0.0,1.0,13.05,0.0,0.0
1,2023-01-14 04:30:00,2023-01-14 05:04:00,3,1.11,1,N,92,234,1,6.08,2.5,0.5,3.89,0.0,1.0,16.47,2.5,0.0
1,2023-01-14 05:03:00,2023-01-14 05:39:00,3,0.48,1,N,227,240,2,7.41,3.5,0.5,1.26,6.55,1.0,20.22,0.0,0.0
1,2023-01-14 05:13:00,2023-01-14 05:20:00,1,1.38,1,N,110,54,1,3.94,1.0,0.5,0.68,0.0,1.0,7.12,0.0,0.0
2,2023-01-14 07:29:00,2023-01-14 07:44:00,1,0.86,1,N,215,134,1,53.63,2.5,0.5,2.57,6.55,1.0,69.25,2.5,0.0
2,2023-01-14 12:37:00,2023-01-14 13:08:00,1,1.69,4,N,227,243,1,5.4,1.0,0.5,5.46,0.0,1.0,17.61,2.5,1.75
1,2023-01-14 15:03:00,2023-01-14 15:16:00,1,1.43,1,N,98,208,1,8.59,0.0,0.5,1.28,6.55,1.0,17.92,0.0,0.0
1,2023-01-14 15:07:00,2023-01-14 15:35:00,1,4.56,1,N,60,149,1,8.13,0.0,0.5,1.02,0.0,1.0,13.15,2.5,0.0
2,2023-01-14 15:55:00,2023-01-14 16:48:00,3,2.52,1,N,93,102,1,3.36,2.5,0.5,7.42,0.0,1.0,17.28,2.5,0.0
2,2023-01-14 17:42:00,2023-01-14 18:01:00,1,3.09,1,N,188,170,1,4.28,3.5,0.5,0.19,6.55,1.0,18.52,2.5,0.0
1,2023-01-14 18:16:00,2023-01-14 18:52:00,1,0.83,1,N,52,194,1,7.09,3.5,0.5,0.59,6.55,1.0,21.73,2.5,0.0
1,2023-01-14 18:16:00,2023-01-14 18:43:00,1,0.64,1,N,217,211,1,20.42,2.5,0.5,7.33,0.0,1.0,34.25,2.5,0.0
1,2023-01-14 19:10:00,2023-01-14 19:33:00,3,6.4,1,N,100,57,1,32.88,3.5,0.5,0.2,0.0,1.0,40.58,2.5,0.0
